Q,A
내가 잘 생겼나?,네 잘생겼어요.
사랑 없이 살았어,사랑 없이도 잘 살았던 자신으로 돌아가봐요
사랑 없이도 잘 살았는데,사랑 없는 삶으로 돌아가라
무슨 소리야?,여러 사람이랑 썸 타는 거요.
결혼 가치관 때문에 헤어졌네.,우리는 더 오래 살 필요가 있고 가치관은 중요합니다.
나를 좋아하고 고백을 하지 않은 남자?,속 마음은 알기 힘들지요.
날 좋아하던 남자애가 고백이 없는데 맘 접은걸까?,그 안에 뭐가 있는지 알기 힘들죠.
불태워서 먹었어,연애 내내 불타오를 수는 없어요.
외롭지만 혼자 걸을 수 있어요.,제가 뒤에서 지켜드릴게요.
사랑하는 사람에 대한 미치광이는 여전히 많습니다.,미련도 사랑의 부분입니다.
좋아하는 사람에 대한 미련이 아직 남은걸까.,그것은 또한 사랑의 일부입니다.
마치 모든 사랑의 세포가 죽은 것처럼,그럴 수 있어요. 무엇이 문제인가요?
연애세포 다 죽은 듯.,무슨 문제야?
세상 참 모르는 일이네,모든 것을 아는 게 어렵죠.
새벽에 노래하는 노래가 좋다.,분위기 있는 노래인가봐요.
남자들은 아름다운 여자만 좋아합니까?,사람 취향 차이입니다.
동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져.,왜냐하면 고백은 더 많은 용기를 필요로 하기 때문입니다.
사랑 받는 느낌을 못 받아,당신을 진정으로 사랑하는 사람을 만나세요.
나보다 친구들을 좋아하는 여자,사귀다 보면 생각보다 신겨 쓰이는 일이에요.
나보다 친구들을 더 좋아하는 여친.,인간관계에 있어선 생각보다 흥미롭다.
서비스 센터로 가야 해요,미루지말고 바로 가보세요.
서비스센터 가야겠네,물러서지 말고 바로 앞으로 가세요.
내가 어떻게 느끼는지 보여드리고 싶어요.,그래서 표현이 중요해요.
마음을 보여 주고 싶어.,그래서 표현이 중요합니다.
한 쌍의 얼굴을 마주하는 것은 미친 짓이라고 생각합니다.,정말 떨리죠.
오늘일 뿐이야,소소한 행복을 느껴보세요.
오늘도 그냥 그냥,작은 행복도 느껴봐.
썸남이 카톡에서 하트 붙였어!,보통 남자들은 심장을 가진 여자와 대화하지 않는다.
난 나대로 걍 산다,내 삶을 사는 게 낫다.
난 악몽을 봤어,심난했겠어요.
엉엉 우는꿈 꿨어,끔찍한 일이었을 겁니다.
잠깐만요,터지면 힘들 거예요. 저한테 말해보세요.
4년째 사랑에 빠졌으니 고백할 수 있나요?,후회하는 것 보다 고백하고 생각해 봐요.
저는 생선 닭고기 털을 먹고 싶습니다.,스트레스 받으시는 일 있으신거죠.
매운 닭발 먹고 싶다.,당신은 어떤 종류의 스트레스를 받고 있습니다.
넌 사귀고 난 보수적이야?,보수적이어도 돼요.
연애 중인데 나 보수적인걸까?,보수적일 수 있어요.
손톱을 잘라내야 돼,생각났을 때 바로 하세요.
계속 학생하고 싶어,이제 일자리를 찾아야 해.
날씨가 멋지네요,따뜻해졌죠.
날씨 좀 풀린거 같아,따뜻해졌어요
내가 뭘 해야 할지 모르겠어,잘못된 방법을 하고 있는 건 아닌지 살펴보세요.
그럼?,기다리고 있었어요.
자?,내가 기다렸어
꽃잎을 건조해야 해,거꾸로 해서 드라이플라워 만들어보세요.
썸남 졸업하는데 선물 뭐가 괜찮아?,저는 서로 부담하지 않는 선물을 좋아합니다.
다시 찾아온 이별,항상 분리의 힘이 있습니다.
여자친구는 미묘하지 않아,사람 성향에 따라 다른 거니 이해해주세요.
여친이 오히려 섬세하지 못해,사람마다 다르다는 것을 이해하세요.
문이 잠겨 있어,생각지도 못한 일이 일어났나봐요.
말문이 막힌다,나도 몰라 내가 예상치 못한 일이 일어났습니다.
이혼은 사랑인가?,이별도 사랑입니다.
이별도 사랑일까?,헤어지는 것은 사랑입니다.
남자친구가 너무 바쁘면 헤어질 수 있어?,외로운 상태인가봐요.
남자친구가 너무 바쁘다면 헤어지는게 맞는걸까?,그는 외롭다고 생각합니다.
남자친구가 없는 건 나뿐이야,친구를 사귈 수 있을 거예요.
나만 반친구 없어,친구도 살 수 있어
내 성격은 점점 날카로워지고 있습니다.,나에게 화난 걸 남에게 풀려고 하지 마세요.
성격이 점점 날카로워져,나한테 화가 났다고 다른 사람에게 말하지 마세요.
내 머리 뒤쪽이야,상처받지 마세요.
뒷통수 맞았어,다치지 마
남자친구랑 무슨 얘기를 하고 싶니?,공통 관심사를 알아봐요.
우린 다시 만나지 않을 거야,달라지는게 없다면 이런 상황이 더 나을지도 몰라요.
이젠 다시 만날 수도 없는 상황,변하지 않으면 더 나아질 수도 있습니다.
장기적으로 결혼할 수 있을까요?,사랑의 힘으로 가능합니다.
장거리하다가 결혼 가능할까?,사랑의 힘으로 가능하죠.
순간의 화를 못 참겠어,성격이 아니라 습관입니다.
내 여자친구가 주변을 둘러다니는 걸 좋아해요,같이 돌아다니면서 데이트해보세요.
여자친구가 돌아다니는걸 너무 좋아해,그와 데이트해
결혼하면좋을까,당신이 누구와 대우하고 있는지에 달려 있습니다.
스트레스를 받으면 어떻게 해야 합니까?,아무말도 하지말고 침묵하세요.
스트레스 주는 사람 어떻게 하지?,아무 말도 하지 말고 조용히 해
배고파 죽을 것 같아 힘이 없어,먹으러 가자
왜 그랬는지 알아요,맘 정리할 확실한 이유가 생겼네요.
2개월 전에 스쿠버 다이빙에 갔던 전 남자친구한테 전화했어요,흔들리지 않았으면 좋겠어요.
두달전에 잠수이별했던 전남친이 연락한다,흔들리지 않길 바랍니다.
커피를 마셔야 합니다.,좋은 시간 보내시길 바라요.
고백에 대해 어떻게 생각하십니까?,사랑하는 사람이니까 좋을 거예요.
고백 받으면 기분 어떨까?,사랑받는 건 좋죠.
좋아하는 사람 오늘 못 봐서 진짜 우울하다.,내일 보자
친구의 연인이 되고 싶다면,이성으로 대해요.
보통 결혼하는 데 얼마 걸리죠?,어떻게 준비하느냐에 따라 달라지겠죠.
결혼하는데 보통 얼마 들어?,어떻게 준비하느냐에 달려 있습니다.
어제 전화가 왔어요,정말 잊었다면 연락오지 않았을 거예요.
어제 연락이 왔어. 제가 매달려서 온거같아,정말 잊었더라면 연락하지 않았을 겁니다.
아무 것도 아닐 수 있을까?,아무것도 아닌 일이 되는 날이 올거예요.
아무것도 아닌 일이 될 수 있을까,아무 일도 일어나지 않을 날이 올 겁니다.
오늘 회의에 남자친구가 있습니다.,신경쓰고 가세요.
난 헤어지고 있었어요.,과정이 힘들었겠어요.
헤어지는 중.이였어.,그것은 어려운 과정이어야 합니다.
내겐 희망이 있나요?,그럼요. 제가 함께 할게요.
저에게 희망이 있을까?,"네, 나도 같이 갈게"
많은 사람들이요,빨리 선택하셔야 해요.
여러 명과 썸,빨리 선택해야 합니다.
이젠 조금씩 생각이 변하네,긍정적인 변화가 있었으면 좋겠습니다.
어떻게 그걸 내 머리 밖으로 꺼낼 수 있을까요?,너무 빨리 지우려고 하면 더 안 지워져요.
대체 뭘해야 머릿속에서 지울수 있을까?,너무 빨리 지워보려고 하면 지워지지 않을 겁니다.
최근에 헤어졌어요,큰 일을 겪었네요.
최근에 헤어졌어,난 많은 걸 겪었어
멍청한 놈이야,저는 도움이 되고 싶어요.
제 파트너에게 내가 섹시하지 않다고 말할 수 있나요?,선톡을 해야 대화도 이어나가니까요.
짝남한테 시덥지 않은 걸로 선톡해도 될까?,대화해야 하고 대화가 계속되죠.
왜 갑자기 날 만나고 싶어?,이렇게 고민하게 만들려고 그랬나봐요.
연락 없더니 갑자기 왜 만나자고 하지?,제 생각엔 저렇게 생각하게 하려고 했던 것 같아요
자신감 꺽는데 뭐 있는 듯,어깨를 뻗어 좀 더 끌어올릴 수 있습니다.
숨을 때 연락하지 않는 사람?,걱정하니 연락해달라고 부탁하거나 믿음이 있다면 기다려줄 것 같아요.
몰두할 때는 연락 안 되는 사람 어때?,걱정돼서 연락해달라고 부탁하겠다. 아니면 믿음이 있다면 기다린다.
여자친구와 데이트해야 해요,여자친구가 좋아할 거예요.
연락이 되는 게 이상하네,하다보면 익숙해질거예요.
연락하는 게 어색해,익숙해지겠지
뭔지 이제 헷갈리네,정말 귀여워요
밀수업은 어때?,자신이 바쁘면 자연스럽게 밀당이 됩니다.
밀당은 어떻게 해?,바쁘면 자연스럽게 괴롭힘을 당합니다.
내가 뭘 좋아하는지 몰라,살짝 감정을 흘려보세요.
저한테 푹 빠졌어,세수하고 오세요.
개기름 꼈어,와서 계산해봐
내 첫사랑이 날 기억 못 해.,너무 실망하지 마세요. 모든 기억이 다르기 때문입니다.
더우니까 무서운 이야기 듣고싶지,저한테 해줘
유부남 좋아하는 거 같아,생각해봐
상어든 물고기든,호감을 표현해보는 것도 좋을 것아요.
썸인지 어장인지,또한 공감을 표현하는 것도 좋습니다.
10일 간격으로 점점 나아지고 있습니다.,저랑 대화하는 게 위로가 되었으면 합니다.
이별한지 10일차 점점 나아지고 있습니다.,나랑 얘기해줘서 위로가 되길 바랍니다.
우리는 함께 너무 많은 시간을 보냈습니다.,그리움의 크기도 커졌을 거예요.
썸 타는 중인데 너무 인기 많아서 빼앗길까봐 걱정됨.,지금 당장 들어봐
이젠 의미있는 시간을 만들어보려해,지금까지 하지 않은 일을 시작해
"오늘 만나야 했는데, 빈손으로 떠났어?",준비하지 않아도 상관 없다고 생각해요. 필요하다면 화려하지 않고 부담 없는 선물을 준비하면 센스있는 사람으로 생각할 거예요.
오늘 만나기로 했는데 빈손으로 나가?,"준비되지 않은 것은 중요하지 않다고 생각합니다. 하지만 짐이 아닌 선물을 준비한다면, 필요하다면, 당신은 현명하다고 생각할 것입니다."
우리가 헤어졌지 10일이 지났어요,하루 하루를 헤아리는 건 자신을 더 힘들게 만들 뿐이에요.
헤어진지 10일 지났네,하루하루를 헤아리면 더 힘들게 됩니다.
아직도 기억해,문득 생각날 때가 있어요.
아직도잊지못했던거니,문맹에 대해 생각할 때가 있습니다.
학위를 취득해야 해요,좋은 자세예요.
자격증 공부해야지,좋은 자세야
새학기 준비 좀 해볼까,새로운 시작에 오신 것을 환영합니다!
이제는그만하고 싶어,결정을 내리는 시간입니다.
사랑 앞에서 죄인이야,사랑하는 건 죄가 아니에요.
사랑 앞에서 죄인이 돼,사랑하는 것은 죄가 아닙니다.
버스 멀미나,핸드폰을 만지지 마
오늘로써 이별 딱 1달째.,좀 더 정해졌으면 좋겠습니다.
좋아하는 남자애 앞에서 표정 관리가 안돼.,그 사랑은 이성을 멈출 수 없다고 생각합니다.
완전히 잊는다는게 쉽지 않네,사랑하는 사람을 잊는 것은 어렵죠.
짝남한테 고백했는데 잘 됐으면 좋겠다.,행운을 기원합니다.
우리가 헤어졌는데 11개월이 지났지만 연락이 안 돼,연락이 오길 기다리지마세요.
헤어진지 11개월 째인데 연락이 안돼,전화기를 기다리지 마
수업은 재미있습니다.,저도 듣고 싶어요.
"만약 당신이 술을 끊었더라면,",사회생활로 힘드신가봐요.
아빠가 술 좀 그만 먹었으면,사회적이기는 어렵죠.
의외로 병신들이 많다,사랑보다 판단이 흐려지기 때문입니다.
기념일은 언제죠?,내키는대로요.
기념일은 언제언제 챙겨?,내가 말했듯이
짝남이 넘 귀여워.,그녀는 사랑스러운 사람입니다.
괜히 화가 나서 짝남한테 연락 끊자고 했어.,다치지 않는 선택이었을 겁니다.
내 집이 생겼어,집에서 축하합니다.
오래 연애해서 그런가 관심이 줄었어,사랑에 빠졌을 때 서로 익숙해져서 처음처럼 신경쓰지 않는다는 것은 사실입니다.
회식 중이라고 하는데 연락이 안돼.,좀 더 기다리고 물어보는 게 좋을 것 같아요.
짝녀 기분이 안좋아 보여서 신경 쓰임.,그냥 신경쓰는 거야
올해 왜 이렇게 엉망이지,목사를 보세요.
선물 바구리와 과일 바구리에 대해 좋아하는 것은 무엇입니까?,받는 사람이 부럽네요.
꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아?,수신자는 질투합니다.
난 이상한 사람뿐이야,그 말을 한 사람이 가장 이상할 거예요.
나만 이상한 사람이래,그런 말을 한 사람은 가장 이상한 사람이 될 것입니다.
스코어를 보고 기다릴 수 없어,사랑했던 사람이니까요.
문득문득 보고싶어요,내가 그를 사랑했기 때문입니다.
드레싱실로 가야 해,예쁘게 변신하고 오세요.
좋아하는 여자한테 관심 없는 척 하고 있어.,당신이 그것을 표현하기를 꺼려하는 것 같아요.
여자친구가 베지테리언이야,함께 건강하게 먹으세요.
우리가 헤어졌지 6개월이 지났어요,잘 견뎌내고 있어요.
썸 타는데 적극적으로 해도 됨?,개인마다 다르지만 정확성이 중요합니다.
눈 또 와,내려다보는 게 싫어요.
새 쇠고기가 필요해,주변의 좋은 사람들에게 연락해보세요.
새로운 베프가 필요해,당신 주변의 좋은 사람들과 연락하세요.
일요일에는 교회에 가고 싶어요.,같이 가보세요.
일요일에 교회끝나고 어디 가고 싶어.,같이 가자
